N°,Fecha,Producto,Valor,Unidad,Venta ,Tipo de venta,Forma de Pago,Estado,Mes,dia de la semana,,
479,27/02/2026,Humidificador 220 ml,,1,$5.500,Ventas presencial,Tarjeta cuenta vista,Si,febrero,vie,,
480,27/02/2026,Macetero M21,,2,$6.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,vie,,
481,27/02/2026,Plato M21 (gris),,2,$2.400,Ventas presencial,Tarjeta cuenta vista,Si,febrero,vie,,
482,27/02/2026,Helecho Crype Wave,,1,$8.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,vie,,
483,27/02/2026,Promo Suculentas,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,vie,,
484,27/02/2026,Hierba Ruda,,1,$1.500,Ventas presencial,Tarjeta cuenta vista,Si,febrero,vie,,
485,27/02/2026,Macetero M21,,1,$3.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,vie,,
486,27/02/2026,Helecho L,,1,$6.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,vie,,
487,27/02/2026,Tierra 40L,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,vie,,
488,28/02/2026,Perlita,,2,$2.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
489,28/02/2026,Fibra de coco,,2,$2.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
490,28/02/2026,Sustrato,,2,$2.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
491,28/02/2026,Set de Herramientas,,1,$4.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
492,28/02/2026,Hierba Romero S,,1,$1.500,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
493,28/02/2026,Suculenta M,,1,$3.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
494,28/02/2026,Promo Suculentas,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
495,28/02/2026,Monstera Adansonii,,1, ,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
496,28/02/2026,luces,,2,$5.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
497,28/02/2026,Jabón Potásico,,1,$3.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
498,28/02/2026,Macetero M8,,6,$1.800,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
499,28/02/2026,Macetero Cerámica generico XS,,2,$4.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
500,28/02/2026,Filodendro Pink Princess M,,1,$13.600,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
501,28/02/2026,Suculenta M,,2,$6.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
502,28/02/2026,Suculenta S,,1,$2.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
503,28/02/2026,Ficus Benjamina Samantha L,,1,$16.200,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
504,28/02/2026,Gomero Indio,,3,$16.500,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
505,28/02/2026,Macetero Cerámica Blanco con lineas negras S,,1,$6.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
506,28/02/2026,Dolar Chaucha,,1,$6.500,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
507,28/02/2026,Begonia Alas de Ángel,,1,$5.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
508,28/02/2026,Singonio Plateado M,,2,$11.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
509,28/02/2026,Begonia Alas de Ángel,,2,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
510,28/02/2026,Ficus Shivereana M,,1,$8.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
511,28/02/2026,Macetero Petunia Petróleo M,,1,$8.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
512,28/02/2026,Sustrato,,4,$4.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
513,28/02/2026,Promo Suculentas,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
514,28/02/2026,Dólar Blanco L,,2,$13.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
515,28/02/2026,Suculenta M,,1,$3.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
516,28/02/2026,Ficus Shivereana M,,1,$8.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
517,28/02/2026,Maranta,,1,$7.500,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
518,28/02/2026,Tradescantia Nanouk M,,1,$3.500,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
519,28/02/2026,Dolar Chaucha,,1,$6.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
520,28/02/2026,Promo Suculentas,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
521,28/02/2026,Suculenta XL,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
522,28/02/2026,Monstera Deliciosa M,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
523,28/02/2026,Macetero Cerámica Flores celeste M,,1,$8.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
524,01/03/2026,Tierra 15 L,,1,$5.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,dom,,
525,01/03/2026,Hierba Gatera,,1,$2.500,Ventas presencial,Tarjeta cuenta vista,Si,marzo,dom,,
526,01/03/2026,Macetero M28,,1,$3.500,Ventas presencial,Tarjeta cuenta vista,Si,marzo,dom,,
527,01/03/2026,Promo suculentas,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,dom,,
528,01/03/2026,Suculenta XS,,2,$2.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,dom,,
529,01/03/2026,Cactus M,,1,$7.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,dom,,
530,01/03/2026,Cactus L,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,dom,,
531,01/03/2026,Jardín Suculentas L,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,dom,,
532,02/03/2026,Promo Suculentas,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
533,02/03/2026,Promo Suculentas,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
534,02/03/2026,Macetero Cerámica generico S,,1,$3.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
535,02/03/2026,Plato M21 (gris),,1,$1.500,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
536,02/03/2026,Hierba Gatera,,1,$1.500,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
537,02/03/2026,Sustrato,,3,$3.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
538,02/03/2026,Suculenta M,,1,$3.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
539,02/03/2026,Cordatum Brasil,,1,$9.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
540,02/03/2026,Plato M21 (gris),,3,$3.600,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
541,02/03/2026,Gomero Indio,,1,$5.500,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
542,02/03/2026,Monstera Deliciosa XL,,1,$16.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
543,02/03/2026,Palmera Chameadora,,1,$11.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
544,03/03/2026,Promo Suculentas,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,mar,,
545,03/03/2026,Promo Suculentas,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,mar,,
546,03/03/2026,Sustrato,,1,$1.000,Ventas presencial,Efectivo,Si,marzo,mar,,
547,03/03/2026,Macetero Cerámica Gato,,2,$6.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,mar,,
548,03/03/2026,Suculenta S,,2,$4.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,mar,,
549,03/03/2026,Filodendro Pink Princess M,,1,$13.600,Ventas presencial,Tarjeta cuenta vista,Si,marzo,mar,,
550,03/03/2026,Suculenta S,,1,$2.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,mar,,
551,03/03/2026,Hierba Ciboulette,,1,$1.500,Ventas presencial,Tarjeta cuenta vista,Si,marzo,mar,,
552,03/03/2026,Hierba albahaca,,1,$1.500,Ventas presencial,Tarjeta cuenta vista,Si,marzo,mar,,
553,03/03/2026,Suculenta M,,1,$3.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,mar,,
554,03/03/2026,Dólar Blanco M,,1,$3.500,Ventas presencial,Tarjeta cuenta vista,Si,marzo,mar,,
555,03/03/2026,Hierba Orégano,,1,$1.500,Venta por Whatsap,Transferencia,Si,marzo,mar,,
556,03/03/2026,Cucharita M,,1,$6.000,Venta por Whatsap,Transferencia,Si,marzo,mar,,
557,03/03/2026,Singonio Plateado M,,1,$5.000,Venta por Whatsap,Transferencia,Si,marzo,mar,,
558,03/03/2026,Aphelandra,,1,$5.500,Venta por Whatsap,Transferencia,Si,marzo,mar,,
559,03/03/2026,Tradescantia Nanouk M,,1,$3.500,Venta por Whatsap,Transferencia,Si,marzo,mar,,
560,03/03/2026,Envío,,1,$3.000,Venta por Whatsap,Transferencia,Si,marzo,mar,,
561,04/03/2026,Suculenta M/L,,1,$5.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,mié,,
562,04/03/2026,Filodendro Pink Princess M,,1,$13.600,Ventas presencial,Tarjeta cuenta vista,Si,marzo,mié,,
563,04/03/2026,Calathea Freddie,,1,$8.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,mié,,
564,04/03/2026,Tierra 15 L,,1,$5.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,mié,,
565,04/03/2026,Filodendro Silver Sword,,1,$5.500,Ventas presencial,Tarjeta cuenta vista,Si,marzo,mié,,
566,04/03/2026,Sustrato,,3,$3.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,mié,,
567,04/03/2026,Tradescantia Nanouk M,,1,$3.500,Ventas presencial,Tarjeta cuenta vista,Si,marzo,mié,,
568,04/03/2026,Lavanda,,1,$5.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,mié,,
569,04/03/2026,Promo Suculentas,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,mié,,
570,04/03/2026,Cactus L,,2,$20.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,mié,,
571,04/03/2026,Cactus S,,1,$3.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,mié,,
572,04/03/2026,Suculenta XS,,1,$1.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,mié,,
573,04/03/2026,Suculenta M,,1,$3.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,mié,,
574,04/03/2026,Gomero Indio,,1,$5.500,Ventas presencial,Tarjeta cuenta vista,Si,marzo,mié,,
575,04/03/2026,Tradescantia Nanouk L,,1,$6.500,Ventas presencial,Tarjeta cuenta vista,Si,marzo,mié,,
576,04/03/2026,Hypoeste M,,1,$2.500,Ventas presencial,Tarjeta cuenta vista,Si,marzo,mié,,
577,04/03/2026,Manto de Eva L,,1,$25.000,Venta por instagram,Transferencia,Si,marzo,mié,,
578,04/03/2026,Patita de Jaiba,,1,$7.500,Venta por instagram,Transferencia,Si,marzo,mié,,
579,04/03/2026,Cordatum Lemon,,1,$9.000,Venta por instagram,Transferencia,Si,marzo,mié,,
580,04/03/2026,Tradescantia Nanouk L,,1,$6.500,Venta por instagram,Transferencia,Si,marzo,mié,,
581,04/03/2026,Cactus S,,1,$3.000,Venta por instagram,Transferencia,Si,marzo,mié,,
582,04/03/2026,Sustrato,,3,$3.000,Venta por instagram,Transferencia,Si,marzo,mié,,
583,04/03/2026,Macetero Cerámica Rosado Pálido S,,1,$4.000,Venta por instagram,Transferencia,Si,marzo,mié,,
584,04/03/2026,Macetero Cerámica Rosado Pálido M,,1,$6.000,Venta por instagram,Transferencia,Si,marzo,mié,,
585,04/03/2026,Suculenta M,,1,$3.000,Venta por instagram,Transferencia,Si,marzo,mié,,
586,04/03/2026,Envío,,1,$2.500,Venta por instagram,Transferencia,Si,marzo,mié,,
587,04/03/2026,Envío,,1,$4.000,Venta por instagram,Transferencia,Si,marzo,mié,,
588,05/03/2026,pulverizador 1 L,,1,$5.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,jue,,294200
589,05/03/2026,Helecho Crype Wave,,1,$8.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,jue,,
590,05/03/2026,Macetero Cerámica Gris/Verde oscuro/Menta M,,1,$6.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,jue,,
591,05/03/2026,Suculenta M/L,,1,$5.000,Ventas presencial,Efectivo,Si,marzo,jue,,
592,05/03/2026,Promo Suculentas,,1,$10.000,Ventas presencial,Efectivo,Si,marzo,jue,,
593,05/03/2026,Macetero Cerámica Blanco ondas XS,,1,$4.000,Venta por instagram,Transferencia,Si,marzo,jue,,
594,05/03/2026,Macetero Petunia Petróleo M,,1,$8.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,jue,,
595,05/03/2026,pulverizador 1 L,,1,$5.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,jue,,
596,05/03/2026,Set de Herramientas,,1,$4.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,jue,,
597,05/03/2026,Manto de Eva M,,1,$15.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,jue,,
598,05/03/2026,Filodendro Pink Princess M,,1,$13.600,Ventas presencial,Tarjeta cuenta vista,Si,marzo,jue,,
599,05/03/2026,Suculenta XL,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,jue,,
600,05/03/2026,Macetero Cerámica Blanco con lineas negras XS,,1,$4.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,jue,,
601,05/03/2026,Sustrato,,3,$3.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,jue,,
602,05/03/2026,Pothus Golden,,1,$8.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,jue,,
603,05/03/2026,Macetero Cerámica Gris/Verde oscuro/Menta M,,1,$6.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,jue,,
604,05/03/2026,Helecho Crype Wave,,1,$8.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,jue,,
605,05/03/2026,Medidor Análogo,,2,$16.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,jue,,
606,05/03/2026,Helecho S,,1,$2.500,Ventas presencial,Tarjeta cuenta vista,Si,marzo,jue,,
607,05/03/2026,Macetero Cerámica generico S,,1,$3.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,jue,,
608,05/03/2026,luces,,2,$5.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,jue,,
609,05/03/2026,Macetero Cerámica Rosado Pálido L,,1,$8.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,jue,,
610,05/03/2026,Sustrato,,2,$2.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,jue,,
611,05/03/2026,Suculenta L,,1,$6.500,Ventas presencial,Tarjeta cuenta vista,Si,marzo,jue,,
612,05/03/2026,pulverizador 500 cc,,1,$3.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,jue,,
613,05/03/2026,Medidor Análogo,,1,$8.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,jue,,
614,05/03/2026,Singonio Confetti M,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,jue,,
615,05/03/2026,Filodendro Pink Princess M,,1,$13.600,Ventas presencial,Tarjeta cuenta vista,Si,marzo,jue,,
616,05/03/2026,Singonio Plateado M,,1,$5.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,jue,,
617,05/03/2026,Filodendro Silver Sword,,1,$5.500,Ventas presencial,Tarjeta cuenta vista,Si,marzo,jue,,
618,05/03/2026,Luces telescopica,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,jue,,
619,06/03/2026,Macetero Cerámica Blanco ondas XS,,1,$4.000,Venta por instagram,Transferencia,Si,marzo,vie,,
620,06/03/2026,Suculenta L,,1,$8.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,vie,,
621,06/03/2026,Promo Suculentas,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,vie,,
622,06/03/2026,Cactus S,,1,$3.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,vie,,
623,06/03/2026,Suculenta S,,1,$2.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,vie,,
624,06/03/2026,Suculenta XS,,1,$1.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,vie,,
625,06/03/2026,Promo Suculentas,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,vie,,
626,06/03/2026,Sustrato,,8,$8.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,vie,,
627,06/03/2026,Perlita,,1,$1.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,vie,,
628,06/03/2026,Fibra de coco,,1,$1.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,vie,,
629,06/03/2026,Jabón Potásico,,1,$3.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,vie,,
630,06/03/2026,Suculenta M/L,,1,$5.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,vie,,
631,09/03/2026,Helecho Crype Wave,,1,$8.000,Ventas presencial,Efectivo,Si,marzo,lun,,
632,09/03/2026,Plato M8,,1,$400,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
633,09/03/2026,Macetero M28,,1,$3.500,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
634,09/03/2026,Suculenta S,,1,$2.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
635,09/03/2026,Filodendro Paraguayo M,,1,$5.500,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
636,09/03/2026,Macetero Cerámica Gris/Verde oscuro/Menta S,,1,$4.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
637,09/03/2026,Macetero Cerámica Gris/Verde oscuro/Menta m,,1,$6.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
638,09/03/2026,Pothus Golden,,2,$16.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
639,09/03/2026,Dólar Blanco M,,1,$4.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
640,09/03/2026,Promo Suculentas,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
641,09/03/2026,Sustrato,,1,$1.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
642,09/03/2026,Cactus M,,2,$14.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
643,09/03/2026,Promo Suculentas,,2,$20.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
644,09/03/2026,Hierba albahaca,,2,$3.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
645,09/03/2026,Suculenta L,,1,$6.500,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
646,09/03/2026,Promo Suculentas,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
647,09/03/2026,Peperomia Pepperspot M,,1,$6.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
648,09/03/2026,Iresine Morado,,1,$4.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
649,09/03/2026,Cactus S,,1,$3.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
650,09/03/2026,Cactus L,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
651,09/03/2026,Caja de regalo,,1,$1.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
652,09/03/2026,Promo Suculentas,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
653,09/03/2026,Sustrato,,2,$2.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
654,09/03/2026,Promo Suculentas,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
655,09/03/2026,Suculenta S,,1,$2.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
656,09/03/2026,Tradescantia Nanouk m,,1,$4.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
657,09/03/2026,Humus Líquido 100 cc,,1,$1.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
658,09/03/2026,Dólar Blanco M,,1,$4.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
659,09/03/2026,Tradescantia Nanouk M,,1,$4.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
660,09/03/2026,Suculenta L,,1,$6.500,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
661,09/03/2026,Humus Líquido 100 cc,,1,$1.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
662,09/03/2026,Gomero Negro S,,1,$5.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
663,09/03/2026,Suculenta M/L,,1,$5.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
664,09/03/2026,Mala Madre M,,1,$3.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
665,09/03/2026,Suculenta XS,,1,$1.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
666,09/03/2026,Suculenta XL,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
667,09/03/2026,Suculenta M/L,,1,$5.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
668,09/03/2026,Pothus Golden,,1,$8.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
669,09/03/2026,Bolsa de regalo,,1,$500,Ventas presencial,Transferencia,Si,marzo,lun,,
670,09/03/2026,Sustrato,,5,$5.000,Ventas presencial,Transferencia,Si,marzo,lun,,
671,09/03/2026,Macetero Cerámica generico S,,1,$3.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
672,09/03/2026,Humus Líquido 100 cc,,1,$1.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
673,09/03/2026,Suculenta S,,1,$2.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
674,09/03/2026,Yuca XL,,1,$15.000,Ventas presencial,efectivo,Si,marzo,lun,,
675,09/03/2026,Cactus M,,1,$7.000,Ventas presencial,efectivo,Si,marzo,lun,,
676,09/03/2026,Singonio Plateado L,,1,$10.000,Ventas presencial,efectivo,Si,marzo,lun,,
677,09/03/2026,Cactus XL,,1,$14.500,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
678,09/03/2026,Suculenta M,,1,$3.000,Ventas presencial,efectivo,Si,marzo,lun,,
679,09/03/2026,Sustrato,,5,$5.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
680,09/03/2026,Macetero M19,,1,$2.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
681,09/03/2026,Tradescantia Zebrina M,,1,$4.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
682,09/03/2026,Cactus XL,,1,$15.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
683,09/03/2026,Mala Madre M,,1,$3.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
684,09/03/2026,Monstera Deliciosa L,,1,$14.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
685,09/03/2026,Macetero Resina L,,1,$4.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
686,09/03/2026,Macetero Cerámica Gris/Verde oscuro/Menta S,,1,$4.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
687,09/03/2026,Suculenta M,,2,$6.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
688,09/03/2026,Fibra de coco,,1,$1.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
689,09/03/2026,Jardín Suculentas L,,1,$15.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
690,09/03/2026,Suculenta XL,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
691,09/03/2026,Suculenta M,,1,$3.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
692,09/03/2026,Suculenta S,,1,$2.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,lun,,
693,10/03/2026,Singonio Plateado M,,1,$5.500,Ventas presencial,Tarjeta cuenta vista,Si,marzo,mar,,
694,10/03/2026,Tutor verde 60,,1,$700,Ventas presencial,Tarjeta cuenta vista,Si,marzo,mar,,
695,10/03/2026,Tutor musgo 30 cm,,1,$6.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,mar,,
696,10/03/2026,Hypoeste M,,1,$2.500,Ventas presencial,Tarjeta cuenta vista,Si,marzo,mar,,
697,10/03/2026,Macetero Cerámica Gris/Verde oscuro/Menta S,,1,$4.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,mar,,
698,10/03/2026,Promo Suculentas,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,mar,,
699,10/03/2026,Tutor verde 120,,1,$1.100,Ventas presencial,Tarjeta cuenta vista,Si,marzo,mar,,
700,10/03/2026,Suculenta L,,1,$6.500,Ventas presencial,Tarjeta cuenta vista,Si,marzo,mar,,
701,11/03/2026,Hypoeste M,,2,$5.000,Venta por instagram,Transferencia,Si,marzo,mié,,
702,11/03/2026,Cactus L,,1,$10.500,Venta por Whatsap,Transferencia,Si,marzo,mié,,
703,11/03/2026,Cactus L,,3,$21.000,Venta por Whatsap,Transferencia,Si,marzo,mié,,
704,11/03/2026,Cactus XL,,1,$14.000,Venta por Whatsap,Transferencia,Si,marzo,mié,,
705,11/03/2026,Envío,,1,$2.500,Venta por Whatsap,Transferencia,Si,marzo,mié,,
706,11/03/2026,Suculenta L,,1,$6.500,Venta por Whatsap,Transferencia,Si,marzo,mié,,
707,11/03/2026,Aphelandra,,1,$5.500,Venta por Whatsap,Transferencia,Si,marzo,mié,,
708,11/03/2026,Croposma rojo,,1,$7.000,Venta por Whatsap,Transferencia,Si,marzo,mié,,
709,11/03/2026,Envío,,1,$3.000,Venta por Whatsap,Transferencia,Si,marzo,mié,,
710,12/03/2026,Monstera Andansoni,,1,$8.000,Venta por Whatsap,Transferencia,Si,marzo,jue,,
711,12/03/2026,Tutor musgo 60 cm,,1,$8.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,jue,,
712,13/03/2026,Cordatum verde,,1,$12.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,vie,,
713,12/03/2026,Cucharita M,,1,$6.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,jue,,
714,13/03/2026,Promo Suculentas,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,vie,,
715,13/03/2026,Tradescantia Nanouk M,,1,$4.000,Ventas presencial,Tarjeta cuenta vista,Si,marzo,vie,,
